ARTOIS HOUND,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/028g06.jpg
PORCELAINE,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/030g06.jpg
SMALL BLUE GASCONY BLUE,Scent hounds,FRANCE,
BLUE GASCONY GRIFFON,Scent hounds,FRANCE,
GRAND BASSET GRIFFON VENDEEN,Scent hounds,FRANCE,
NORMAN ARTESIEN BASSET,Scent hounds,FRANCE,
BLUE GASCONY BASSET,Scent hounds,FRANCE,
BASSET FAUVE DE BRETAGNE,Scent hounds,FRANCE,
PORTUGUESE WATER DOG,Water Dogs,PORTUGAL,http://www.fci.be/Nomenclature/Illustrations/037g08.jpg
WELSH CORGI CARDIGAN,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/038g01.jpg
WELSH CORGI PEMBROKE,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/039g01.jpg
IRISH SOFT COATED WHEATEN TERRIER,Large and medium sized Terriers,IRELAND,
YUGOSLAVIAN SHEPHERD DOG - SHARPLANINA,Molossian type,MACEDONIA,http://www.fci.be/en/nomenclature/YUGOSLAVIAN-SHEPHERD-DOG-SHARPLANINA-41.html
JÄMTHUND,Nordic Hunting Dogs,SWEDEN,http://www.fci.be/Nomenclature/Illustrations/042g05.jpg
BASENJI,Primitive type,CENTRAL AFRICA,
BERGER DE BEAUCE,Sheepdogs,FRANCE,
BERNESE MOUNTAIN DOG,Swiss Mountain- and Cattledogs,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/045g02.jpg
APPENZELL CATTLE DOG,Swiss Mountain- and Cattledogs,SWITZERLAND,
ENTLEBUCH CATTLE DOG,Swiss Mountain- and Cattledogs,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/047g02.jpg
KARELIAN BEAR DOG,Nordic Hunting Dogs,FINLAND,http://www.fci.be/Nomenclature/Illustrations/048g05-1.jpg
FINNISH SPITZ,Nordic Hunting Dogs,FINLAND,http://www.fci.be/Nomenclature/Illustrations/049g05-1.jpg
NEWFOUNDLAND,Molossian type,CANADA,
FINNISH HOUND,Scent hounds,FINLAND,
POLISH HOUND,Scent hounds,POLAND,http://www.fci.be/Nomenclature/Illustrations/052g06.jpg
KOMONDOR,Sheepdogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/053g01.jpg
KUVASZ,Sheepdogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/054g01.jpg
PULI,Sheepdogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/055g01.jpg
PUMI,Sheepdogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/056g01.jpg
HUNGARIAN SHORT-HAIRED POINTER (VIZSLA),Continental Pointing Dogs,HUNGARY,http://www.fci.be/Nomenclature/Illustrations/057g07.jpg
GREAT SWISS MOUNTAIN DOG,Swiss Mountain- and Cattledogs,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/058g02.jpg
SWISS HOUND,Scent hounds,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/059g06-1.jpg
SMALL SWISS HOUND,Scent hounds,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/060g06-1.jpg
ST. BERNARD,Molossian type,SWITZERLAND,http://www.fci.be/Nomenclature/Illustrations/061g02-1.jpg
COARSE-HAIRED STYRIAN HOUND,Scent hounds,AUSTRIA,http://www.fci.be/Nomenclature/Illustrations/062g06.jpg
AUSTRIAN BLACK AND TAN HOUND,Scent hounds,AUSTRIA,http://www.fci.be/Nomenclature/Illustrations/063g06.jpg
AUSTRIAN  PINSCHER,Pinscher and Schnauzer type,AUSTRIA,
MALTESE,Bichons and related breeds,CENTRAL MEDITERRANEAN BASIN,
FAWN BRITTANY GRIFFON,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/066g06.jpg
PETIT BASSET GRIFFON VENDEEN,Scent hounds,FRANCE,
TYROLEAN HOUND,Scent hounds,AUSTRIA,
LAKELAND TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/070g03.jpg
MANCHESTER TERRIER,Large and medium sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/071g03.jpg
NORWICH TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/072g03.jpg
SCOTTISH TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/073g03.jpg
SEALYHAM TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/074g03.jpg
SKYE TERRIER,Small sized Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/075g03.jpg
STAFFORDSHIRE BULL TERRIER,Bull type Terriers,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/076g03.jpg
CONTINENTAL TOY SPANIEL,Continental Toy Spaniel and Russian Toy,BELGIUM,http://www.fci.be/en/nomenclature/CONTINENTAL-TOY-SPANIEL-77.html
